Date,Open,High,Low,Close,Volume
2015-09-08,195.94,197.61,195.17,197.46,111802406
2015-09-09,199.32,199.47,194.35,194.79,143843485
2015-09-10,194.56,197.22,194.25,195.85,151047966
2015-09-11,195.38,196.82,194.53,196.81,111133368
2015-09-14,196.95,197.01,195.43,196.01,76519092
2015-09-15,196.61,198.99,195.96,198.46,109363010
2015-09-16,198.82,200.41,198.41,200.18,96920964
2015-09-17,200.02,202.89,199.28,199.73,261379872
2015-09-18,195.71,198.68,194.96,195.36,215841130
2015-09-21,196.44,197.68,195.21,196.46,102789474
2015-09-22,193.88,194.46,192.56,193.9,143295383
2015-09-23,194.11,194.67,192.91,193.6,91820194
2015-09-24,192.15,193.45,190.56,192.93,155699704
2015-09-25,194.64,195.0,191.81,192.86,146455318
2015-09-28,191.78,191.91,187.64,188.01,159583396
2015-09-29,188.27,189.74,186.93,188.12,152923805
2015-09-30,190.37,191.82,189.44,191.63,157904505
2015-10-01,192.08,192.49,189.82,192.16,128343552
2015-10-02,189.77,195.03,189.12,195.0,207189030
2015-10-05,196.46,198.74,196.33,198.47,123748244
2015-10-06,198.31,198.98,197.0,197.81,108922460
2015-10-07,198.9,199.82,197.48,199.41,122148056
2015-10-08,198.95,201.55,198.59,201.21,148650429
2015-10-09,201.38,201.9,200.58,201.33,103724868
2015-10-12,201.42,201.76,200.91,201.52,55724977
2015-10-13,200.65,202.16,200.05,200.25,86412301
2015-10-14,200.18,200.87,198.94,199.29,97241068
2015-10-15,200.08,202.36,199.64,202.29,129994847
2015-10-16,202.83,203.29,201.92,203.27,111598761
2015-10-19,202.5,203.37,202.13,203.32,74403014
2015-10-20,202.85,203.84,202.55,203.11,76338239
2015-10-21,203.61,203.79,201.65,201.85,100489757
2015-10-22,202.98,205.51,201.85,205.26,168893359
2015-10-23,207.25,207.95,206.3,207.51,141523333
2015-10-26,207.3,207.37,206.56,206.99,68090390
2015-10-27,206.2,207.0,205.79,206.57,75171862
2015-10-28,207.0,208.98,206.21,208.94,134819531
2015-10-29,208.35,209.27,208.21,208.83,85442289
2015-10-30,209.06,209.44,207.74,207.93,130181307
2015-11-02,208.32,210.62,208.17,210.33,83311007
2015-11-03,209.97,211.66,209.7,211.0,94726690
2015-11-04,211.35,211.5,209.72,210.36,95307983
2015-11-05,210.43,210.98,209.09,210.15,76716253
2015-11-06,209.74,210.32,208.46,210.04,108580729
2015-11-09,209.31,209.49,206.95,208.08,126638839
2015-11-10,207.51,208.6,207.19,208.56,74325478
2015-11-11,208.88,208.94,207.66,207.67,67508433
2015-11-12,206.5,207.06,204.82,204.84,118890536
2015-11-13,204.35,204.67,202.44,202.54,150682357
2015-11-16,202.32,205.69,202.18,205.62,115930080
2015-11-17,205.99,207.04,204.88,205.47,115909699
2015-11-18,206.04,208.9,205.99,208.73,115434210
2015-11-19,208.59,209.05,208.2,208.55,83129793
2015-11-20,209.45,210.12,208.86,209.31,92068633
2015-11-23,209.38,209.98,208.52,209.07,63857028
2015-11-24,207.87,209.83,207.41,209.35,97174300
2015-11-25,209.5,209.74,209.01,209.32,51980062
2015-11-27,209.43,209.8,208.86,209.56,37302577
2015-11-30,209.75,209.89,208.56,208.69,110123708
2015-12-01,209.44,210.82,209.11,210.68,97051205
2015-12-02,210.62,211.0,208.23,208.53,107220116
2015-12-03,208.83,209.15,204.75,205.61,166224154
2015-12-04,206.08,209.97,205.93,209.62,192913879
2015-12-07,209.23,209.73,207.2,208.35,102027111
2015-12-08,206.49,208.29,205.78,206.95,103372367
2015-12-09,206.19,208.68,204.18,205.34,162401537
2015-12-10,205.42,207.43,205.14,205.87,116128884
2015-12-11,203.35,204.14,201.51,201.88,211173305
2015-12-14,202.07,203.05,199.95,202.9,178914452
2015-12-15,204.7,206.11,202.87,205.03,154069569
2015-12-16,206.36,208.39,204.8,208.03,197017008
2015-12-17,208.4,208.48,204.84,204.86,173092476
